flat_idx	TianS1_key	TianS1_label	TianS2_key	TianS2_label	TianS3_key	TianS3_label	TianS4_key	TianS4_label
362624	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362625	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362626	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362627	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362628	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362629	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362708	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362709	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362710	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362711	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362712	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362713	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362714	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362718	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362719	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362720	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362721	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362722	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362723	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362724	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362725	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362726	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362805	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362806	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362807	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362808	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362809	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362810	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362811	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
362814	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362815	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362816	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
362817	15	PUT-lh	30	pPUT-lh	38	PUT-VP-lh	42	PUT-VP-lh
