flat_idx	key	within_idx	label	i	j	k	x	y	z
362821	1	254	Tian_Subcortex	32	60	41	-32.5	-12.5	3.5
362822	1	255	Tian_Subcortex	32	60	42	-32.5	-12.5	5.5
362823	1	256	Tian_Subcortex	32	60	43	-32.5	-12.5	7.5
362902	1	257	Tian_Subcortex	32	61	25	-32.5	-10.5	-28.5
362903	1	258	Tian_Subcortex	32	61	26	-32.5	-10.5	-26.5
362904	1	259	Tian_Subcortex	32	61	27	-32.5	-10.5	-24.5
362905	1	260	Tian_Subcortex	32	61	28	-32.5	-10.5	-22.5
362906	1	261	Tian_Subcortex	32	61	29	-32.5	-10.5	-20.5
362911	1	262	Tian_Subcortex	32	61	34	-32.5	-10.5	-10.5
362912	1	263	Tian_Subcortex	32	61	35	-32.5	-10.5	-8.5
362913	1	264	Tian_Subcortex	32	61	36	-32.5	-10.5	-6.5
362914	1	265	Tian_Subcortex	32	61	37	-32.5	-10.5	-4.5
362915	1	266	Tian_Subcortex	32	61	38	-32.5	-10.5	-2.5
362916	1	267	Tian_Subcortex	32	61	39	-32.5	-10.5	-0.5
362917	1	268	Tian_Subcortex	32	61	40	-32.5	-10.5	1.5
362918	1	269	Tian_Subcortex	32	61	41	-32.5	-10.5	3.5
362919	1	270	Tian_Subcortex	32	61	42	-32.5	-10.5	5.5
362920	1	271	Tian_Subcortex	32	61	43	-32.5	-10.5	7.5
362921	1	272	Tian_Subcortex	32	61	44	-32.5	-10.5	9.5
362999	1	273	Tian_Subcortex	32	62	25	-32.5	-8.5	-28.5
363000	1	274	Tian_Subcortex	32	62	26	-32.5	-8.5	-26.5
363001	1	275	Tian_Subcortex	32	62	27	-32.5	-8.5	-24.5
363002	1	276	Tian_Subcortex	32	62	28	-32.5	-8.5	-22.5
363004	1	277	Tian_Subcortex	32	62	30	-32.5	-8.5	-18.5
363009	1	278	Tian_Subcortex	32	62	35	-32.5	-8.5	-8.5
363010	1	279	Tian_Subcortex	32	62	36	-32.5	-8.5	-6.5
363011	1	280	Tian_Subcortex	32	62	37	-32.5	-8.5	-4.5
363012	1	281	Tian_Subcortex	32	62	38	-32.5	-8.5	-2.5
363013	1	282	Tian_Subcortex	32	62	39	-32.5	-8.5	-0.5
363014	1	283	Tian_Subcortex	32	62	40	-32.5	-8.5	1.5
363015	1	284	Tian_Subcortex	32	62	41	-32.5	-8.5	3.5
363016	1	285	Tian_Subcortex	32	62	42	-32.5	-8.5	5.5
363017	1	286	Tian_Subcortex	32	62	43	-32.5	-8.5	7.5
363018	1	287	Tian_Subcortex	32	62	44	-32.5	-8.5	9.5
363098	1	288	Tian_Subcortex	32	63	27	-32.5	-6.5	-24.5
363099	1	289	Tian_Subcortex	32	63	28	-32.5	-6.5	-22.5
363100	1	290	Tian_Subcortex	32	63	29	-32.5	-6.5	-20.5
363101	1	291	Tian_Subcortex	32	63	30	-32.5	-6.5	-18.5
363107	1	292	Tian_Subcortex	32	63	36	-32.5	-6.5	-6.5
363108	1	293	Tian_Subcortex	32	63	37	-32.5	-6.5	-4.5
363109	1	294	Tian_Subcortex	32	63	38	-32.5	-6.5	-2.5
363110	1	295	Tian_Subcortex	32	63	39	-32.5	-6.5	-0.5
363111	1	296	Tian_Subcortex	32	63	40	-32.5	-6.5	1.5
363112	1	297	Tian_Subcortex	32	63	41	-32.5	-6.5	3.5
363113	1	298	Tian_Subcortex	32	63	42	-32.5	-6.5	5.5
363114	1	299	Tian_Subcortex	32	63	43	-32.5	-6.5	7.5
363115	1	300	Tian_Subcortex	32	63	44	-32.5	-6.5	9.5
363194	1	301	Tian_Subcortex	32	64	26	-32.5	-4.5	-26.5
363195	1	302	Tian_Subcortex	32	64	27	-32.5	-4.5	-24.5
363196	1	303	Tian_Subcortex	32	64	28	-32.5	-4.5	-22.5
363197	1	304	Tian_Subcortex	32	64	29	-32.5	-4.5	-20.5
363198	1	305	Tian_Subcortex	32	64	30	-32.5	-4.5	-18.5
363199	1	306	Tian_Subcortex	32	64	31	-32.5	-4.5	-16.5
363204	1	307	Tian_Subcortex	32	64	36	-32.5	-4.5	-6.5
363205	1	308	Tian_Subcortex	32	64	37	-32.5	-4.5	-4.5
363206	1	309	Tian_Subcortex	32	64	38	-32.5	-4.5	-2.5
363207	1	310	Tian_Subcortex	32	64	39	-32.5	-4.5	-0.5
363208	1	311	Tian_Subcortex	32	64	40	-32.5	-4.5	1.5
363209	1	312	Tian_Subcortex	32	64	41	-32.5	-4.5	3.5
363210	1	313	Tian_Subcortex	32	64	42	-32.5	-4.5	5.5
363211	1	314	Tian_Subcortex	32	64	43	-32.5	-4.5	7.5
363212	1	315	Tian_Subcortex	32	64	44	-32.5	-4.5	9.5
363291	1	316	Tian_Subcortex	32	65	26	-32.5	-2.5	-26.5
363292	1	317	Tian_Subcortex	32	65	27	-32.5	-2.5	-24.5
363293	1	318	Tian_Subcortex	32	65	28	-32.5	-2.5	-22.5
363294	1	319	Tian_Subcortex	32	65	29	-32.5	-2.5	-20.5
363295	1	320	Tian_Subcortex	32	65	30	-32.5	-2.5	-18.5
363296	1	321	Tian_Subcortex	32	65	31	-32.5	-2.5	-16.5
363301	1	322	Tian_Subcortex	32	65	36	-32.5	-2.5	-6.5
363302	1	323	Tian_Subcortex	32	65	37	-32.5	-2.5	-4.5
363303	1	324	Tian_Subcortex	32	65	38	-32.5	-2.5	-2.5
363304	1	325	Tian_Subcortex	32	65	39	-32.5	-2.5	-0.5
363305	1	326	Tian_Subcortex	32	65	40	-32.5	-2.5	1.5
363306	1	327	Tian_Subcortex	32	65	41	-32.5	-2.5	3.5
363307	1	328	Tian_Subcortex	32	65	42	-32.5	-2.5	5.5
363308	1	329	Tian_Subcortex	32	65	43	-32.5	-2.5	7.5
363388	1	330	Tian_Subcortex	32	66	26	-32.5	-0.5	-26.5
